"Project","Feature","RelativePath","FileName","ClassName","BaseClass"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\migration\migration_dashboard_screen.dart","migration_dashboard_screen.dart","MigrationDashboardScreen","StatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\audit_log_screen.dart","audit_log_screen.dart","AuditLogScreen","StatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\customer_app_entry_qr_screen.dart","customer_app_entry_qr_screen.dart","CustomerAppEntryQrScreen","ConsumerStatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\device_management_screen.dart","device_management_screen.dart","DeviceManagementScreen","StatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\device_settings_screen.dart","device_settings_screen.dart","DeviceSettingsScreen","ConsumerStatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\error_logs_screen.dart","error_logs_screen.dart","ErrorLogsScreen","ConsumerStatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\main_settings_screen.dart","main_settings_screen.dart","SettingsScreen","ConsumerStatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\payment_reminders_screen.dart","payment_reminders_screen.dart","PaymentRemindersScreen","ConsumerStatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\printer_settings_screen.dart","printer_settings_screen.dart","PrinterSettingsScreen","ConsumerStatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\template_designer_screen.dart","template_designer_screen.dart","BillTemplateDesignerScreen","ConsumerWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\presentation\screens\user_management_screen.dart","user_management_screen.dart","UserManagementScreen","StatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\screens\currency_settings_screen.dart","currency_settings_screen.dart","CurrencySettingsScreen","StatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\screens\tax_config_screen.dart","tax_config_screen.dart","TaxConfigScreen","StatefulWidget"
"Dukan_x","shared","G:\desktop app genuine\Dukan_x\lib\features\shared\presentation\screens\no_internet_screen.dart","no_internet_screen.dart","NoInternetScreen","StatelessWidget"
"Dukan_x","shop_linking","G:\desktop app genuine\Dukan_x\lib\features\shop_linking\presentation\screens\manual_shop_add_screen.dart","manual_shop_add_screen.dart","ManualShopAddScreen","ConsumerStatefulWidget"
"Dukan_x","shop_linking","G:\desktop app genuine\Dukan_x\lib\features\shop_linking\presentation\screens\qr_display_screen.dart","qr_display_screen.dart","QrDisplayScreen","ConsumerWidget"
"Dukan_x","shop_linking","G:\desktop app genuine\Dukan_x\lib\features\shop_linking\presentation\screens\qr_scanner_screen.dart","qr_scanner_screen.dart","QrScannerScreen","ConsumerStatefulWidget"
"Dukan_x","shop_linking","G:\desktop app genuine\Dukan_x\lib\features\shop_linking\presentation\screens\shop_confirmation_screen.dart","shop_confirmation_screen.dart","ShopConfirmationScreen","ConsumerStatefulWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\id_card_designer_screen.dart","id_card_designer_screen.dart","IDCardDesignerScreen","StatelessWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\staff_attendance_screen.dart","staff_attendance_screen.dart","StaffAttendanceScreen","StatefulWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\staff_management_screen.dart","staff_management_screen.dart","StaffManagementScreen","ConsumerStatefulWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\staff_payroll_screen.dart","staff_payroll_screen.dart","StaffPayrollScreen","StatefulWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\staff_sale_entry_screen.dart","staff_sale_entry_screen.dart","StaffSaleEntryScreen","StatefulWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\staff_sale_entry_screen.dart","staff_sale_entry_screen.dart","StaffPaymentQrScreen","StatefulWidget"
"Dukan_x","staff","G:\desktop app genuine\Dukan_x\lib\features\staff\presentation\screens\staff_transaction_history_screen.dart","staff_transaction_history_screen.dart","StaffTransactionHistoryScreen","StatefulWidget"
