"Method","Path","OperationId","LambdaHandler","DynamoDbPattern","Auth","TenantIsolated","ZodValidated","Status"
"GET","/hardware/projects","hardwareProjectList","src/handlers/hardware-projects.ts:listProjects","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/projects","hardwareProjectCreate","src/handlers/hardware-projects.ts:createProject","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/projects/{id}/close","hardwareProjectClose","src/handlers/hardware-projects.ts:closeProject","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/purchase-bills","hardwareCreatePurchaseBill","src/handlers/hardware-phase12.ts:createPurchaseBill","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/purchase-orders","hardwareListPurchaseOrders","src/handlers/hardware-phase12.ts:listPurchaseOrders","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/purchase-orders","hardwareCreatePurchaseOrder","src/handlers/hardware-phase12.ts:createPurchaseOrder","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/purchase-orders/pending","hardwarePendingPurchaseOrders","src/handlers/hardware-phase2.ts:getPendingPurchaseOrders","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/purchase-orders/{id}/status","hardwareUpdatePurchaseOrderStatus","src/handlers/hardware-phase12.ts:updatePurchaseOrderStatus","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/rate-comparison","hardwareSupplierRateComparison","src/handlers/hardware-phase2.ts:getSupplierRateComparison","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/reports/dead-stock","hardwareDeadStockReport","src/handlers/hardware-phase2.ts:getDeadStockReport","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/reports/item-velocity","hardwareItemVelocityReport","src/handlers/hardware-phase2.ts:getItemVelocityReport","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/sales-orders","hardwareListSalesOrders","src/handlers/hardware-phase2.ts:listSalesOrders","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/sales-orders","hardwareCreateSalesOrder","src/handlers/hardware-phase2.ts:createSalesOrder","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/sales-orders/{id}/status","hardwareUpdateSalesOrderStatus","src/handlers/hardware-phase2.ts:updateSalesOrderStatus","Get","Yes","Yes","Yes","Implemented"
"GET","/inventory/expiry-alerts","groceryExpiryAlerts","src/handlers/grocery-expiry.ts:getExpiryAlerts","Query/Get","Yes","Yes","No","Implemented"
"POST","/inventory/labels","barcodeBatchLabels","src/handlers/barcode-label.ts:generateBatchLabels","Get","Yes","Yes","Yes","Implemented"
"POST","/inventory/{id}/adjust","adjustStock","src/handlers/inventory.ts:adjustStock","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/inventory/{id}/label","barcodeLabel","src/handlers/barcode-label.ts:generateLabel","Get","Yes","Yes","Yes","Implemented"
"GET","/invoices/{id}/einvoice","einvoiceStatus","src/handlers/einvoice.ts:getEInvoiceStatus","Put/Write/Get","Yes","Yes","Yes","Implemented"
"POST","/invoices/{id}/einvoice","einvoiceGenerate","src/handlers/einvoice.ts:generateEInvoice","Put/Write/Get","Yes","Yes","Yes","Implemented"
